rank,time,athlete,club,category,distance,competition_date,competition_type,competition_name,location,ligue,department,type,level
4,17'18'',GIS RENIER Sophie,Gaccsr,M5F/63,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,18'40'',CHAPON Cyrille,Gaccsr,M5F/63,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,-,CAUVET Enzo,As Montoise,MIM/09,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,-,VALLEE Clara,As Montoise,CAF/07,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,9'14'',DAVID Valentin,Gaccsr,BEM/11,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,9'49'',HEUDEBOURG Idriss,As Montoise,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,9'55'',DEMARESCAUX Emma,As Montoise,MIF/10,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,9'59'',TROLONG Anais,As Montoise,MIF/09,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,10'02'',VANDERMEERSCH Simon,Gaccsr,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,10'11'',BARON Arthur,Gaccsr,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,10'18'',BLOT Valentin,Gaccsr,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,10'41'',VANDERMEERSCH Chloe,Gaccsr,MIF/09,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
9,15'06'',PETIT Lili-Rose,Gaccsr,MIF/10,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,-,CARBALLO Margaux,Ca Cauchois,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,-,ABIVEN Oceane,As Montoise,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,-,FRAT Mila,As Montoise,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,-,DECULTOT Juliette,Gaccsr,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,-,CLEMENT Berenice,Ca Cauchois,BEF/11,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,-,CHAUVIDON Julia,Gaccsr,BEF/11,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
-,1 Résultat(s) non conforme (Epreuve) à la règlementation fédérale pour la catégorie de l’athlète : EAM,,No Club,,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,5'25'',BICHEREL Eliott,Ca Cauchois,POM/13,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,5'33'',ABIVEN Leane,As Montoise,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,5'40'',DANET Sacha,Gaccsr,POM/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,5'44'',GREVRENT Martin,As Montoise,POM/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,7'10'',FLAMBARD Lea,Gaccsr,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,7'43'',CHAUVIDON Maria,Gaccsr,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,7'56'',BONNEAU Elsa,Gaccsr,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
-,2 Résultat(s) non conforme (Epreuve) à la règlementation fédérale pour la catégorie de l’athlète : EAF,,No Club,,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,28'12'',OURRAD Karim,CAEN ATHLETIC CLUB*,M0M/89,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,28'17'',BICHEREL Yoann,Ca Cauchois,M0M/85,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,28'21'',PLAISSY Christophe,,M0M/85,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,29'03'',CARBALLO Marc,Ca Cauchois,M1M/83,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,29'10'',GOULARD Sylvain,LE HAVRE S'PORT ATHLETISME,M1M/82,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,30'09'',LEPILLER David,Co Bolbec,SEM/99,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,30'13'',FOREST Gwenael,Sc Bernay,M1M/80,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,30'54'',PIEDNOEL Emmanuel,,SEM/90,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
9,31'51'',TALAOUGHANIM Kamel,Le Havre Sport Athletisme,M0M/88,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
10,32'29'',TREMBLE Paul,Vc Bocage Vire,ESM/04,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
11,32'38'',RUBIGNY Leo,,SEM/99,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
12,32'45'',VITTECOQ Vincent,Montville Running Club,M1M/82,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
13,33'02'',VILLETTE Frederic,Montville Running Club,M3M/74,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
14,33'47'',SAUTREUIL Aurelien,S/l Cs Gravenchon,SEM/99,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
15,34'12'',SOURDON Guillaume,Sc Bernay,M1M/83,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
16,35'20'',VAUCHEL Wilfried,Groupement Athletique Basse Se,M3M/73,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
17,35'23'',VIARD Francois,Auffay Running Club,M2M/78,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
18,35'38'',CASTAGNOS Denis,As Montoise,M3M/74,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
19,37'30'',TRIFFAULT Jean-Christophe,As Montoise,M3M/71,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
20,38'13'',FOUGY Florian,Auffay Running Club,M0M/87,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
23,40'32'',RAIMBOURG Thomas,Gaccsr,SEM/96,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
24,40'37'',GERARD Patrice,Team Tsm,M2M/77,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
25,40'55'',VATINE Alexandre,Gaccsr,SEM/91,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,26'42'',ROCCHI Juliette,Auffay Running Club,SEF/95,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,30'02'',SCHLUR Amandine,Auffay Running Club,M1F/83,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,30'38'',VANDERMEERSCH Emilie,Gaccsr,M1F/82,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,16'28'',CUVELLIER Bruno,Yvetot Triatlon,M4M/67,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,17'08'',DUSEAUX Alain,,M4M/66,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,17'32'',DESERT Bruno,Gaccsr,M4M/67,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,19'14'',DESERT Philippe,Gaccsr,M6M/59,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,21'09'',LEVASSEUR Leon,Viking Club Yvetot,M7M/50,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,21'22'',GEFFRAY Michel,Auzouville,M6M/55,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,21'19'',HAUGUEL Arnaud,Gaccsr,M5M/64,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,21'23'',LEFEBVRE Claude,Auffay Running Club,M6M/56,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
9,29'27'',LE ROUX Jean-Pierre,Gaccsr,M7M/54,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
10,31'55'',SIMON Jean-Paul,Gaccsr,M7M/51,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,11'45'',DEMARESCAUX Hugo,As Montoise,CAM/07,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,15'36'',TRIFFAULT Nolwenn,As Montoise,JUF/05,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,11'54'',BROUARD Patricia,Gaccsr,M5F/62,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,17'18'',GIS RENIER Sophie,Gaccsr,M5F/63,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,18'40'',CHAPON Cyrille,Gaccsr,M5F/63,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,-,CAUVET Enzo,As Montoise,MIM/09,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,-,VALLEE Clara,As Montoise,CAF/07,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,9'14'',DAVID Valentin,Gaccsr,BEM/11,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,9'49'',HEUDEBOURG Idriss,As Montoise,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,9'55'',DEMARESCAUX Emma,As Montoise,MIF/10,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,9'59'',TROLONG Anais,As Montoise,MIF/09,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,10'02'',VANDERMEERSCH Simon,Gaccsr,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,10'11'',BARON Arthur,Gaccsr,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,10'18'',BLOT Valentin,Gaccsr,BEM/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,10'41'',VANDERMEERSCH Chloe,Gaccsr,MIF/09,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
9,15'06'',PETIT Lili-Rose,Gaccsr,MIF/10,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,-,CARBALLO Margaux,Ca Cauchois,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,-,ABIVEN Oceane,As Montoise,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,-,FRAT Mila,As Montoise,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,-,DECULTOT Juliette,Gaccsr,BEF/12,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,-,CLEMENT Berenice,Ca Cauchois,BEF/11,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,-,CHAUVIDON Julia,Gaccsr,BEF/11,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
-,1 Résultat(s) non conforme (Epreuve) à la règlementation fédérale pour la catégorie de l’athlète : EAM,,No Club,,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,5'25'',BICHEREL Eliott,Ca Cauchois,POM/13,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,5'33'',ABIVEN Leane,As Montoise,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,5'40'',DANET Sacha,Gaccsr,POM/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,5'44'',GREVRENT Martin,As Montoise,POM/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,7'10'',FLAMBARD Lea,Gaccsr,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,7'43'',CHAUVIDON Maria,Gaccsr,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,7'56'',BONNEAU Elsa,Gaccsr,POF/14,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
-,2 Résultat(s) non conforme (Epreuve) à la règlementation fédérale pour la catégorie de l’athlète : EAF,,No Club,,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,12'23'',CUVILLIER Romain,Cahors A,SEM/01,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,13'41'',MAURY Sebastien,Cahors A,M2M/78,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,14'22'',CROS-GRANET Romane,Sporting Club Gourdon Athletis,JUF/05,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,15'34'',ANDRE Julien,Cahors A,SEM/00,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,15'42'',PONS Emilien,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'14'',ANDRIEU MENCHI Arthur,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,16'22'',BELLOT Vincent,Figeac Ac,SEM/96,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'41'',PATERNE Valentin,,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,16'52'',BERTRAND Thomas,Ac Gigouzac Saint Germain,M2M/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,17'12'',TIHY Hugo,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,17'47'',DELSAHUT Noah,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'08'',CHASSAGNAC Enzo,,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'14'',GOUABAULT Mathias,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'30'',BOUYGUES Faustine,Pompiers,JUF/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,19'02'',TRUDGETT Didier,Ac Gigouzac Saint Germain,M6M/55,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,19'18'',BELLANGER Kylian,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,19'43'',TEIXEIRA GODET Raphael,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,20'00'',CERTHOUX Michel,Ac Gigouzac Saint Germain,M7M/52,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'04'',ZANETTI Marc Antoine,Pompiers,CAM/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,22'35'',BRUZI Nathan,Pompiers,CAM/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,29'44'',GASPAR Clara,Pompiers,JUF/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,29'59'',LASFARGUES Emmy,Pompiers,JUF/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,5'06'',CHODJAI ROBIN Marion,Figeac Ac,POF/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,5'50'',CUJUS Lisa,,POF/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,6'19'',MAURY Axelle,Cahors A,POF/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,7'20'',TARIN Louna,Sporting Club Gourdon Athletis,POF/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,22pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,4'45'',FRERY Younes,S/l Stade Villeneuve-sur-lot,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,4'52'',GALLEZ Johan,Figeac Ac,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,4'55'',BRAULT Lucas,Ac Gigouzac Saint Germain,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,5'03'',LESPINASSE Theo,Ac Gigouzac Saint Germain,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,5'11'',CALLES Esteban,,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,5'15'',LE LEZ Louis,Sporting Club Gourdon Athletis,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,5'18'',BARBIER FAGES Lucien,Figeac Ac,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,5'21'',DIOP Chab,,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,5'25'',GENNESON-BATHEROSSE Aubin,Sporting Club Gourdon Athletis,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,5'25'',LEKHAL Rayyan,Figeac Ac,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,5'32'',COURTIOL Mathieu,Ac Gigouzac Saint Germain,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,5'40'',LONG LEMAUFF Leo,Ac Gigouzac Saint Germain,POM/14,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,5'46'',CHIVE Antoine,Cahors A,POM/13,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,12'33'',CUJUS Tom,Cahors A,BEM/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,12'36'',MAUREL Valentin,Cahors A,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,12'50'',CHODJAI ROBIN Estelle,Figeac Ac,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,12'57'',CALMETTES Aelis,Figeac Ac,MIF/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,13'03'',HAMONET  Robin,Sporting Club Gourdon Athletis,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,13'14'',DIOP Aiden,,BEM/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,13'40'',PERFETTINI Noah,Cahors A,BEM/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,13'52'',BOURGEOIS Julie,Cahors A,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,14'01'',MERIT Clea,Cahors A,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,14'02'',LEKHAL Salaheddine,Figeac Ac,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,14'04'',COLDEFY Remy,,BEM/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,15'16'',VUILLAUME Lisa,Sporting Club Gourdon Athletis,MIF/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'24'',LAFON Amelie,,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'30'',KAING Jade,Pompiers,MIF/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'30'',MAZOUZ Maina,Pompiers,MIF/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,12'53'',BOUSSAC Charlotte,S/l Club Athletique Caussadais,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,12'54'',DEBRUN Juliette,Cahors A,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,13'35'',TROUCHE Louise,Figeac Ac,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,14'09'',JOHNSON Jade,Figeac Ac,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,14'23'',MAURY Roxane,Cahors A,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,14'31'',GAUCHER Elea,Figeac Ac,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,14'39'',BERTRAND Garance,Ac Gigouzac Saint Germain,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,14'44'',LAPOTRE Juliette,Cahors A,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,15'59'',FRAYSSI Coline,Ac Gigouzac Saint Germain,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,16'01'',BRU Cloe,Sporting Club Gourdon Athletis,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,15pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,14'44'',BERTRAND Marius,Ac Gigouzac Saint Germain,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,14'52'',DEILHES Hugo,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,14'55'',COURTIOL Raphael,,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,15'00'',RICHARD Noe,Figeac Ac,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,15'07'',LEJEUNE Juliette,Pompiers,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,16'13'',MARTY Arthur,Ac Gigouzac Saint Germain,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'19'',BESSIERES Helio,,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,16'54'',BAUDRIT Nolan,Ac Gigouzac Saint Germain,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,16'59'',PHILIPPE BLASIN Leelou,Cahors A,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,17'49'',MILHAVET Mathieu,Figeac Ac,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,18'01'',DOS SANTOS Jules,Sporting Club Gourdon Athletis,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
