rank,time,athlete,club,category,competition_date,competition_type,competition_name,location,ligue,department,type,level,distance
1,30'37'',CUVILLIER Romain,Cahors A,SEM/01,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,30'38'',ROUX Arthur,,SEM/97,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,31'22'',DECREMPS Enzo,Pompiers,ESM/04,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,31'42'',DELPY Fabien,Ac Gigouzac Saint Germain,M0M/86,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,31'48'',COLOMBO Mathieu,S/l Saint-cere Athletisme Club,SEM/96,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,32'16'',GREIN Clement,S/l Saint-cere Athletisme Club,SEM/91,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,32'31'',CALLES Joris,Ac Gigouzac Saint Germain,M0M/87,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,32'33'',FEROLDI Sophia,,SEM/94,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,32'55'',MARQUIS Patrice,S/l Monflanquin Athletic Club,M3M/72,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,33'08'',BACHELOT Erwan,S/l Saint-cere Athletisme Club,M1M/84,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,33'26'',BARTHEZ Yoann,Ac Gigouzac Saint Germain,M1M/82,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,34'16'',BEUVIN Jeremy,S/l Monflanquin Athletic Club,SEM/94,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,34'36'',PAUZIE Daniel,S/l Saint-cere Athletisme Club,M4M/65,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
9,34'51'',LALLOUETTE Regis,Athle 46,M3M/72,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
10,34'57'',TOUCAS Fabien,Athle 46,M2M/79,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,35'57'',PONS Louis,,SEM/93,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
11,36'03'',ROUSSEL Paul,Cahors A,ESM/03,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
12,37'21'',BLAIN Pierre-Louis,S/l Saint-cere Athletisme Club,SEM/91,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,37'22'',ROUCHON Alexandre,Pompiers,M0M/87,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
13,37'23'',BOCCARA Antonin,Saint-cere Athletisme Club*,SEM/92,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
14,37'25'',SOUILLE Ronan,Ac Gigouzac Saint Germain,M1M/82,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
15,37'42'',FOURNIAL Christophe,Cahors A,M0M/87,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,37'43'',RAMBIE Damien,,SEM/91,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,38'11'',PATERNE Michel,,M5M/60,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
16,38'27'',CALLES Philippe,Ac Gigouzac Saint Germain,M3M/72,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
17,38'30'',FRAYSSI Nicolas,Ac Gigouzac Saint Germain,M2M/78,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,38'47'',DEJOU Pierre,Pompiers,SEM/98,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
18,39'05'',DUDON Frederic,Ac Gigouzac Saint Germain,M2M/79,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
19,39'16'',GUY Stephane,Ac Gigouzac Saint Germain,M3M/72,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
20,39'20'',BRAULT Gabriel,Ac Gigouzac Saint Germain,M0M/87,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,39'42'',BORDE Bertrand,,M1M/84,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,39'46'',PLANCASSAGNE Yoann,,M1M/82,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,39'55'',CELLIER Thibeau,Pompiers,M0M/88,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
21,39'55'',LEPORC Jerome,Ac Gigouzac Saint Germain,M3M/71,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
22,39'56'',ROCHELLI Jean-Noel,Athle 46,M3M/74,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
23,40'33'',LE LAY Paul,Ac Gigouzac Saint Germain,M5M/63,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
24,40'38'',PELTIER Sebastien,Ac Gigouzac Saint Germain,M4M/67,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,40'41'',NATHAN Christiano,Pompiers,M0M/88,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
25,41'28'',PERIE Jean-Luc,Figeac Ac,M4M/68,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
26,41'36'',LONZIEME Thierry,Athle 46,M6M/59,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
27,41'38'',LASTRA Claudio,Ac Gigouzac Saint Germain,M3M/71,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
28,42'10'',RAVAYROL Thierry,Ac Gigouzac Saint Germain,M4M/69,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
29,42'28'',EBER Guillaume,Saint-cere Athletisme Club*,SEM/96,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
30,42'29'',BOURREE Ghislain,Ac Gigouzac Saint Germain,M5M/60,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,42'54'',GOSSELIN Landry,Pompiers,SEM/97,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
31,43'15'',CAZAGOU Patrice,Ac Gigouzac Saint Germain,M3M/70,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
32,43'17'',BARRUE Max,Saint-cere Athletisme Club*,M6M/59,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,43'58'',LAFARGUE Bastien,Pompiers,M1M/82,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
33,44'11'',SALSAC Laurent,Saint-cere Athletisme Club*,M1M/81,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,44'41'',SAUGER Mathieu,Pompiers,M0M/87,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
34,44'54'',LE GOFF Francois,Athle 46,M4M/68,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,45'57'',HADJ KACI Mohand,Pompiers,M4M/68,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
35,46'45'',BOUCHUD Christian,Ac Gigouzac Saint Germain,M7M/54,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,48'13'',LAUMONIER Francois,Pompiers,M2M/76,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,50'03'',LALANNE Kevin,Pompiers,SEM/93,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
36,50'44'',MACK Daniel,Saint-cere Athletisme Club*,M5M/60,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,50'44'',DEFFREIX Yanick,Pompiers,M3M/71,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
37,50'44'',ROUGIE Christian,Saint-cere Athletisme Club*,M6M/57,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,51'50'',PONTIER Julien,Pompiers,M1M/82,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,58'05'',DESPRATS Sylvain,Pompiers,M1M/83,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,58'05'',JAMMES Denis,Pompiers,M3M/71,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
38,1h00'13'',MEZIERES Vincent,Athle 46,M3M/74,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
,,,,,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
,,,,,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
"Résultats Équipes | Course 1: CCM - CCF - CAM - JUF -    1EP MANOSQUE ATHLETISME33pt 6 (101), 7 (103), 8 (102), 12 (104)  Résultats Équipes | Course 1: CCM - CCF - CAM - JUF -   -    1EP MANOSQUE ATHLETISME42pt 8 (101), 9 (103), 10 (102), 15 (127)  2S/L TRAIL RUNNING ATHLETIQUE C68pt 7 (112), 18 (124), 19 (121), 24 (125)  3S/L SERRE-CHEVALIER BRIANCON A70pt 11 (111), 14 (128), 22 (115), 23 (116)",1,33pt,Résultats Équipes | Course 1: CCM - CCF - CAM - JUF -   -,S/L TRAIL RUNNING ATHLETIQUE C,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
1,14'30'',BERNARD Hugo,Gap Hautes Alpes Athletisme*,ESM/03,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
2,14'35'',PETIT Arthur,Gap Hautes Alpes Athletisme*,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
3,14'48'',EYME Ernest,S/l Embrun,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
4,15'03'',BOURRIN Samuel,Team Provence Endurance,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
5,15'07'',BAPTISTE Nicolas,Gap Hautes Alpes Athletisme*,SEM/95,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
6,15'21'',LORENTE Thomas,S/l Embrun,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
7,15'41'',LESPRILLIER Liam,S/l Trail Running Athletique C,CAM/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
8,15'44'',BOCHEREAU Romain,Ep Manosque Athletisme,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
9,15'55'',MORADELA Adrien,Ep Manosque Athletisme,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
10,16'07'',MORADELA Matthias,Ep Manosque Athletisme,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
11,16'23'',LE DORAN Tom,S/l Serre-chevalier Briancon A,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
12,16'39'',GAILLARD Christian,S/l Ca Veynes,M1M/83,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
HC,16'39'',LEROY Anatol,Triathlon,CAM/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
13,16'51'',FORTUNE GASPA Maxence,S/l Ca Veynes,CAM/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
14,17'11'',BELIN Mathilde,S/l Serre-chevalier Briancon A,SEF/91,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
15,17'43'',TAIBI MAZYGH Abdessalam (Esp),Ep Manosque Athletisme,SEM/00,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
16,17'51'',PENANT Louis,S/l Embrun,CAM/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
17,18'33'',MAZELIER Julie,Penitents En Durance*,M0F/86,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
18,18'38'',ISAMBERT Julien,S/l Trail Running Athletique C,M1M/81,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
19,18'48'',COULAUD Esther,S/l Trail Running Athletique C,M0F/85,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
20,18'53'',VITUPIER Sam,Ep Manosque Athletisme,CAM/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
21,19'04'',CORDEIRO Francisco,S/l Ca Veynes,M4M/66,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
22,19'11'',LE BARAZER Alexia,S/l Serre-chevalier Briancon A,JUF/06,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
23,19'28'',MIGIEU Emma,S/l Serre-chevalier Briancon A,JUF/06,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
24,19'40'',LESPRILLIER Marion,S/l Trail Running Athletique C,M1F/84,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
HC,20'06'',PATTYN Jules,Triathlon,CAM/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
25,20'10'',FANIA Herve,Penitents En Durance*,M2M/75,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
26,20'18'',HAS Yolaine,S/l Trail Running Athletique C,SEF/97,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
27,22'59'',HERMITTE Anne,S/l Trail Running Athletique C,M0F/86,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
"Résultats Équipes | Course 2 : BEF -    1GAP HAUTES ALPES ATHLETISME*20pt 2 (152), 5 (151), 6 (154), 7 (155)",1,20pt,,,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
1,9'50'',GAILLARD Laura,S/l Ca Veynes,BEF/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
2,10'17'',LEBRAS Adele,Gap Hautes Alpes Athletisme*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
3,10'26'',AUDIER IMBERT Lili,S/l Embrun,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
4,10'34'',REVOL Celia,S/l Ca Veynes,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
5,10'40'',CARTON Eglantine,Gap Hautes Alpes Athletisme*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
6,10'59'',MARCIEN Juliette,Gap Hautes Alpes Athletisme*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
7,11'26'',PROUTEAU HOFFMANN Mathilde,Gap Hautes Alpes Athletisme*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
8,11'43'',BASTIEN Victoria,Sco Ste-marguerite Marseille*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
9,12'07'',MARCIEN Anouk,Gap Hautes Alpes Athletisme*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
10,12'28'',BOULET CHATELAIN Filipine,S/l Trail Running Athletique C,BEF/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
11,12'34'',HOLGADO Lola,Penitents En Durance*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
HC,16'04'',PATTYN Erin,Triathlon,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
12,16'47'',HATHROUBI Mellina,Penitents En Durance*,BEF/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
"Résultats Équipes | Course 3 : MIM - CAF -   -    1S/L CA VEYNES32pt 5 (223), 6 (221), 8 (222), 13 (224)  2EP MANOSQUE ATHLETISME54pt 3 (213), 12 (203), 19 (204), 20 (202)",1,32pt,2,,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
1,11'50'',PETIT Gaspard,Gap Hautes Alpes Athletisme*,MIM/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
2,11'51'',DACHER Lony,Gap Hautes Alpes Athletisme*,MIM/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
3,11'51'',NAHAL Loris,Ep Manosque Athletisme,MIM/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
4,12'12'',MARCELIS Tristan,S/l Embrun,MIM/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
5,12'16'',PAYOT Lubin,S/l Ca Veynes,MIM/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
6,12'29'',BADALYAN Andranik,S/l Ca Veynes,MIM/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
7,12'41'',LANTELME Mila,Ac Digne,CAF/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
8,12'45'',GAILLARD Joshua,S/l Ca Veynes,MIM/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
9,13'11'',ROY Mathieu,Gap Hautes Alpes Athletisme*,MIM/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
10,13'12'',FOURTEAU Anna,Ac Digne,CAF/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
11,13'14'',ICART Josephine,S/l Serre-chevalier Briancon A,CAF/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
12,13'39'',LUGARDON Lucie,Ep Manosque Athletisme,CAF/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
13,13'49'',PRIMERANO Nohan,S/l Ca Veynes,MIM/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
14,14'13'',TURIN Elise,S/l Serre-chevalier Briancon A,CAF/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
15,14'48'',TOUSSAINT Semmy,S/l Ca Veynes,MIM/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
16,14'48'',BOSSARD Myrtille,S/l Embrun,CAF/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
17,14'57'',KELTOUMI Salya,Ac Digne,CAF/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
18,15'52'',SAULNIER Isaac,S/l Ca Veynes,MIM/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
19,16'34'',MAFFREN Chloe,Ep Manosque Athletisme,CAF/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
20,17'04'',BALOGOU Lorna,Ep Manosque Athletisme,CAF/07,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
21,17'34'',BRUN LECOEUCHE Lena,Sco Ste-marguerite Marseille*,CAF/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
22,18'04'',LAVOINE LASSOUTANIE Louise,S/l Embrun,CAF/08,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
23,25'57'',BOUDJAHFA Mohamed,S/l Athle Trail En Argentieroi,MIM/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
1,8'36'',COUTURIER Tom,Gap Hautes Alpes Athletisme*,BEM/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
2,8'39'',GAUDY Romane,S/l Ca Veynes,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
3,8'44'',COUTURIER Soren,Gap Hautes Alpes Athletisme*,BEM/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
HC,8'47'',AYASSE Mailie,Triathlon,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
HC,9'27'',GARNIER Antoine,Non Licencie(e),BEM/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
6,9'30'',GALLEGOS Ana,Gap Hautes Alpes Athletisme*,MIF/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
7,9'34'',BONNET GRUEL Clement,Sco Ste-marguerite Marseille*,BEM/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
8,9'34'',EYME Martin,S/l Embrun,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
9,10'11'',DENIS Emilio,Gap Hautes Alpes Athletisme*,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
10,10'11'',MARTIN Marie,Gap Hautes Alpes Athletisme*,MIF/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
11,10'20'',FOURNIER Lucas,Gap Hautes Alpes Athletisme*,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
12,10'31'',INGRAND Evann,Gap Hautes Alpes Athletisme*,BEM/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
13,10'31'',ISOARD Hugo,Gap Hautes Alpes Athletisme*,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
14,10'37'',DUGOUL Quentin,Sco Ste-marguerite Marseille*,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
HC,10'40'',BOULET CHATELAIN Filomene,Triathlon,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
16,10'41'',LAUDE Mael,S/l Embrun,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
17,10'51'',DEAMBRI Leon,Ac Digne,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
18,11'03'',GUYON Nolan,Ac Digne,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
19,11'04'',VERSCHEURE Raphael,Athletisme Durance Luberon Ver,BEM/11,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
20,11'12'',STERGOU Emilie,Sco Ste-marguerite Marseille*,MIF/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
21,11'47'',MILLON Manon,Gap Hautes Alpes Athletisme*,MIF/09,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
22,11'59'',GUGLIOTTA Maeva,S/l Ca Veynes,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
23,12'00'',LAVOINE LASSOUTANIE Marceau,S/l Embrun,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
24,12'19'',BRONDY Alyssa,S/l Athle Trail En Argentieroi,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
25,12'20'',ROZ Leila,S/l Athle Trail En Argentieroi,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
26,13'38'',ORS BOUGIS Diego,Ac Digne,BEM/12,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
27,14'03'',GOLTRANT Clara,S/l Ca Veynes,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
28,14'57'',HOCQUET Jade,Gap Hautes Alpes Athletisme*,MIF/10,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
1,24'55'',CLEMENT Nelie,Gap Hautes Alpes Athletisme*,ESF/03,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
2,25'53'',ANDRIEUX Anne-Claire,S/l Serre-chevalier Briancon A,M0F/87,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
3,26'07'',JAULIN Marie,Gap Hautes Alpes Athletisme*,SEF/91,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
4,26'19'',MIGIEU Emilie,S/l Serre-chevalier Briancon A,M1F/80,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4,,Dép,4852
